datetime,water_level,pressure,water_temp,wind_speed,wind_u,wind_v
2022-01-01 00:00:00,0.719,1007.7,21.4,2.8,-0.4380165021126467,2.765527353666385
2022-01-01 01:00:00,0.727,1007.8,21.4,3.1,-0.3240382361297266,3.083017875641647
2022-01-01 02:00:00,0.696,1008.0,21.4,2.8,-0.48621489746740476,2.757461708434182
2022-01-01 03:00:00,0.725,1008.2,21.4,2.4,-0.4579415889037079,2.355905240274393
2022-01-01 04:00:00,0.732,1008.2,21.4,2.6,-0.6289969285591361,2.5227688883175907
2022-01-01 05:00:00,0.756,1008.2,21.4,3.4,0.23717201073002592,3.3917177708834023
2022-01-01 06:00:00,0.766,1007.9,21.4,2.8,0.24403607969344224,2.7893451546568873
2022-01-01 07:00:00,0.744,1007.6,21.4,2.5,0.3479327524001638,2.475670171853926
2022-01-01 08:00:00,0.696,1007.0,21.3,4.6,0.48083093103120605,4.574800718694057
2022-01-01 09:00:00,0.611,1006.1,21.3,4.9,0.5121894700115022,4.873157287304539
2022-01-01 10:00:00,0.49,1005.4,21.4,4.9,0.5971597826852219,4.863476143042479
2022-01-01 11:00:00,0.382,1005.2,21.4,3.3,0.11516833911825296,3.297989729163016
2022-01-01 12:00:00,0.26,1005.7,21.4,4.2,1.0870399894305873,4.056888470414087
2022-01-01 13:00:00,0.179,1005.5,21.4,3.9,0.4752904392800745,3.870929991401156
2022-01-01 14:00:00,0.153,1005.7,21.5,4.0,0.48747737362058924,3.9701846065652884
2022-01-01 15:00:00,0.184,1006.9,21.6,4.0,0.8998042173754599,3.897480259140941
2022-01-01 16:00:00,0.24,1007.8,21.6,3.5,1.7500000000000004,3.031088913245535
2022-01-01 17:00:00,0.313,1008.0,21.8,4.1,2.467441594923398,3.2744055911939003
2022-01-01 18:00:00,0.405,1006.6,21.9,4.5,2.5810939635797077,3.686184199300463
2022-01-01 19:00:00,0.478,1005.7,22.0,4.4,2.5862551100868814,3.559674775249769
2022-01-01 20:00:00,0.608,1005.1,21.9,6.1,3.921004419087889,4.6728711030257655
2022-01-01 21:00:00,0.689,1004.5,21.9,4.4,1.859520351659077,3.9877542629612606
2022-01-01 22:00:00,0.738,1005.0,21.9,3.5,2.7580376376235276,2.154815163639803
2022-01-01 23:00:00,0.783,1005.3,21.9,4.7,2.762590685774623,3.8023798735622534
2022-01-02 00:00:00,0.783,1005.2,22.0,3.5,1.7500000000000004,3.031088913245535
2022-01-02 01:00:00,0.751,1005.9,21.9,3.2,2.0138252513594805,2.486867076662307
2022-01-02 02:00:00,0.694,1006.4,21.9,3.0,2.083975111376992,2.1580194010159532
2022-01-02 03:00:00,0.694,1006.9,21.8,3.5,2.341957122256004,2.60100688917088
2022-01-02 04:00:00,0.713,1007.6,21.8,3.2,1.9701167210421062,2.521634411541511
2022-01-02 05:00:00,0.709,1007.7,21.8,2.9,2.0860854209820885,2.014509274331092
2022-01-02 06:00:00,0.677,1007.7,21.9,1.7,1.0230855393584821,1.3576803670803979
2022-01-02 07:00:00,0.646,1008.4,21.9,1.6,1.4256104387013888,-0.7263847995832746
2022-01-02 08:00:00,0.612,1008.9,21.9,1.3,1.2053390109368236,0.48698857144068597
2022-01-02 09:00:00,0.639,1011.6,21.9,9.7,3.7900919463459566,-8.92889707848867
2022-01-02 10:00:00,0.46,1013.7,21.9,10.6,4.976398565530443,-9.359244484304625
2022-01-02 11:00:00,0.236,1014.8,21.8,11.5,1.9969540431696995,-11.325289159640393
2022-01-02 12:00:00,-0.026,1015.8,21.7,10.8,3.1576144110055617,-10.328091364400782
2022-01-02 13:00:00,-0.182,1017.7,21.7,10.0,3.7460659341591236,-9.271838545667872
2022-01-02 14:00:00,-0.423,1019.2,21.6,11.5,3.1698295918954877,-11.054509503290667
2022-01-02 15:00:00,-0.429,1022.0,21.5,8.8,5.417820982865792,-6.934494631739155
2022-01-02 16:00:00,-0.409,1023.5,21.4,9.6,6.1707610529907795,-7.354026653942187
2022-01-02 17:00:00,-0.403,1024.5,21.2,10.1,5.64784832505454,-8.373279482805922
2022-01-02 18:00:00,-0.409,1024.6,20.9,11.1,5.716922631501605,-9.514557037793445
2022-01-02 19:00:00,-0.324,1024.9,20.5,10.9,7.006384945583282,-8.349884429996859
2022-01-02 20:00:00,-0.182,1025.3,19.9,11.2,6.74032825930294,-8.944717712529679
2022-01-02 21:00:00,-0.042,1026.0,19.6,11.7,5.12894241743221,-10.515890341700251
2022-01-02 22:00:00,0.137,1026.0,19.5,10.7,3.3064818398119398,-10.176304724358141
2022-01-02 23:00:00,0.234,1027.5,19.5,11.4,4.997431073395487,-10.246252127810502
2022-01-03 00:00:00,0.187,1028.0,19.3,8.3,2.0329136865846065e-15,-8.3
2022-01-03 01:00:00,0.007,1029.1,19.3,10.3,2.316995859741813,-10.036011667287923
2022-01-03 02:00:00,-0.087,1029.8,19.3,9.4,0.655710853194781,-9.377102072442348
2022-01-03 03:00:00,-0.095,1030.4,19.1,8.6,-1.0480763532842683,-8.535896904115368
2022-01-03 04:00:00,-0.168,1031.1,18.6,8.4,-0.1466002140731815,-8.398720639313687
2022-01-03 05:00:00,-0.203,1031.6,18.0,8.0,0.13961925149826848,-7.99878156125113
2022-01-03 06:00:00,-0.168,1031.4,17.2,6.5,-1.0168240227615006,-6.419974213868396
2022-01-03 07:00:00,-0.135,1031.5,16.7,7.0,-0.8530854038360324,-6.947823061489254
2022-01-03 08:00:00,-0.107,1031.2,16.4,7.1,-3.0005896583589657,-6.4347852879602145
2022-01-03 09:00:00,-0.068,1031.5,16.1,6.3,-1.9468070645621685,-5.991656052659467
2022-01-03 10:00:00,-0.084,1031.4,15.8,5.0,-1.953655642446369,-4.6025242672622015
2022-01-03 11:00:00,-0.158,1031.1,15.8,5.5,-2.4969477485675076,-4.9005358830360235
2022-01-03 12:00:00,-0.24,1032.1,15.8,6.4,-3.5788345822127803,-5.305840464352268
2022-01-03 13:00:00,-0.317,1032.5,15.7,6.1,-2.957338683502656,-5.335180213550314
2022-01-03 14:00:00,-0.482,1033.3,15.5,6.7,-3.0417363482549638,-5.969743712062065
2022-01-03 15:00:00,-0.551,1033.9,15.2,6.5,-3.4444752175158317,-5.512312625016769
2022-01-03 16:00:00,-0.574,1034.6,14.8,4.6,-1.1905676074715954,-4.443258800929714
2022-01-03 17:00:00,-0.572,1034.1,14.4,4.7,-1.0572699554161655,-4.579539304490606
2022-01-03 18:00:00,-0.469,1032.8,14.0,4.4,-0.38348526808969596,-4.3832566716036805
2022-01-03 19:00:00,-0.293,1031.0,13.8,3.9,-1.0093942758998309,-3.767110722527366
2022-01-03 20:00:00,-0.103,1030.1,14.2,2.5,-0.5197792270443984,-2.4453690018345142
2022-01-03 21:00:00,0.111,1029.6,14.3,2.0,-0.31286893008046174,-1.9753766811902755
2022-01-03 22:00:00,0.253,1029.4,14.3,2.3,-1.5977142520556935,-1.6544815407788975
2022-01-03 23:00:00,0.354,1029.2,14.3,2.7,-0.9675934637723108,-2.520667151542445
2022-01-04 00:00:00,0.416,1029.1,14.7,2.2,-1.1658223813130508,-1.8657058115441372
2022-01-04 01:00:00,0.411,1029.1,15.1,1.3,-1.2666810842208058,0.29243637064702455
2022-01-04 02:00:00,0.382,1029.1,15.5,0.8,-0.7989036278036591,-0.04186876499435518
2022-01-04 03:00:00,0.368,1028.5,15.8,1.8,-1.7824825237348267,-0.2505115817281178
2022-01-04 04:00:00,0.355,1028.2,16.1,0.7,-0.520201377834176,-0.46839142445120074
2022-01-04 05:00:00,0.368,1027.9,16.3,0.2,-0.01395129474882506,-0.19951281005196486
2022-01-04 06:00:00,0.404,1027.5,16.5,0.9,-0.44999999999999996,-0.7794228634059949
2022-01-04 07:00:00,0.423,1026.8,16.7,2.1,-1.0499999999999998,-1.8186533479473213
2022-01-04 08:00:00,0.453,1026.4,16.8,2.0,-0.6180339887498948,-1.902113032590307
2022-01-04 09:00:00,0.47,1026.2,16.9,1.0,-0.43837114678907746,-0.898794046299167
2022-01-04 10:00:00,0.461,1025.9,17.0,1.7,-0.2071778837887507,-1.6873284577902474
2022-01-04 11:00:00,0.427,1025.0,17.0,1.6,-1.5706034935162625,-0.3052943926024719
2022-01-04 12:00:00,0.359,1024.3,17.1,0.9,-0.8089146416692502,-0.39453403211016974
2022-01-04 13:00:00,0.222,1024.7,17.1,3.2,-0.9888543819998317,-3.0433808521444914
2022-01-04 14:00:00,0.042,1024.4,16.9,2.4,-2.39853798484583,-0.08375879208600259
2022-01-04 15:00:00,-0.088,1024.7,16.8,1.0,0.9563047559630354,-0.2923717047227367
2022-01-04 16:00:00,-0.122,1024.7,16.7,1.4,0.547023579884983,1.2887067948334165
2022-01-04 17:00:00,-0.13,1024.4,16.5,2.9,2.81385760620039,-0.7015734972390356
2022-01-04 18:00:00,-0.1,1023.2,16.3,2.5,2.481365379103305,-0.3046733585128692
2022-01-04 19:00:00,-0.027,1021.1,16.1,1.9,1.006846602043089,1.6112913826972095
2022-01-04 20:00:00,0.109,1019.8,15.9,1.2,-0.8029567276306301,0.8917737905728728
2022-01-04 21:00:00,0.244,1019.1,15.9,2.4,0.33401544230415725,2.3766433649797687
2022-01-04 22:00:00,0.375,1018.4,15.9,3.2,0.9355894551127577,3.0601752190817137
2022-01-04 23:00:00,0.468,1018.1,16.0,3.4,0.8225344450388695,3.299005469338388
2022-01-05 00:00:00,0.549,1018.0,16.2,2.0,1.0000000000000002,1.7320508075688772
2022-01-05 01:00:00,0.589,1017.4,16.4,2.0,0.5176380902050416,1.9318516525781366
2022-01-05 02:00:00,0.578,1016.9,16.5,3.3,0.7983422554789027,3.2019758967107883
2022-01-05 03:00:00,0.552,1016.9,16.6,2.9,0.8961492836873471,2.7580638972559455
2022-01-05 04:00:00,0.545,1016.5,16.8,3.4,0.3553967751100219,3.381374444252129
2022-01-05 05:00:00,0.511,1016.3,17.1,2.0,0.9079809994790934,1.7820130483767358
2022-01-05 06:00:00,0.54,1015.9,17.3,2.4,1.5426902632476942,1.8385066634855471
2022-01-05 07:00:00,0.566,1015.5,17.4,1.2,0.722178027782458,0.9583626120567513
2022-01-05 08:00:00,0.562,1015.2,17.5,1.1,0.6309340799861508,0.901067248717891
2022-01-05 09:00:00,0.558,1014.9,17.6,0.9,0.3660629787682202,0.8221909118783408
2022-01-05 10:00:00,0.533,1014.5,17.6,0.9,0.4500000000000001,0.7794228634059948
2022-01-05 11:00:00,0.472,1014.2,17.7,0.4,0.25172815641993507,0.31085838458278836
2022-01-05 12:00:00,0.398,1014.3,17.6,0.0,-0.0,-0.0
2022-01-05 13:00:00,0.308,1014.5,17.6,0.0,-0.0,0.0
2022-01-05 14:00:00,0.159,1014.5,17.5,0.5,-0.2575190374550272,0.4285836503510561
2022-01-05 15:00:00,0.043,1015.0,17.3,0.0,-0.0,-0.0
2022-01-05 16:00:00,-0.052,1015.4,17.1,0.0,-0.0,-0.0
2022-01-05 17:00:00,-0.121,1015.1,16.9,1.0,0.7660444431189781,-0.6427876096865393
2022-01-05 18:00:00,-0.115,1014.2,16.6,3.1,-2.628949098084921,1.642749719122935
2022-01-05 19:00:00,-0.074,1013.0,16.4,1.4,-0.4557954162400192,1.3237260058390434
2022-01-05 20:00:00,0.0,1012.2,16.3,3.4,-2.7153607341607953,2.0461710787169642
2022-01-05 21:00:00,0.111,1011.6,16.5,3.4,-2.52669240662314,2.2750440616201177
2022-01-05 22:00:00,0.219,1011.0,16.5,3.7,-2.993362879187306,2.1748054334821503
2022-01-05 23:00:00,0.345,1011.2,16.4,2.7,-2.2897298596223505,1.430782013429653
2022-01-06 00:00:00,0.463,1011.4,16.5,2.3,-1.184587572293125,1.971484791614858
2022-01-06 01:00:00,0.527,1011.5,16.5,2.1,-1.2638115486193011,1.6771345710993153
2022-01-06 02:00:00,0.547,1011.8,16.5,2.2,-1.1982058770330601,1.8450752494799327
2022-01-06 03:00:00,0.525,1011.8,16.6,2.2,-1.1982058770330601,1.8450752494799327
